Very high price...........well done MI,1
"Worst product. Never buy. Slippery  nature, not fiiting proper in hand. Simply Amazon forcing the customer to use it instead of return or replacement. Don't buy online unless u physically see the demo or physical touch of product. Website display is more of graphics.
Worst product features.",1
Nice phone camera super super fast,4
"Superb camera
Battery backup awesome
Nice perfomance",5
Camera quality is not adequate as per expected. It's like 5 mp camera,1
"Outgoing okey

Voice celerity not clear

Incoming some times not through

Overall not happy",2
"Got the phone yesterday,functioning is good but I am not able to access the front camera as it's showing another camera is broken can not switch.",3
I like each and every feature of this mobile except selfie quality,4
I love this phone..... Stylish look..... Excellent battery capacity.... Great clarity of camera.... Good touch....good processor... etc.......... Aur kya chahye,5
Worest mobile ...don't by it friends .I got one month back this mobile .. battery backup 0 only camera good,1
"System is lagging simultaneously
Performing slow
Multitasking not possible
Good camera and music quality
Video recording not good",3
"In this phone Battery performance  is not good camera also not as aspected.

Wow!! I what a pic
Camera quality improve after update.",4
"Products  is very bad
Never buy vivo phone
Phone is getting  hang and on charging it is heated to much",1
Processer was waste to week working slow,3
It's about awesomeness 😬😁😊,4
"1. Portrait pic not good. As compare to  2. OPPO. Are net is working slow as compare to Vivo 17
3. Aap download is compratively slow .",3
Front camera is not as good like 32 MP....it should be improve...back camera design should be improve,4
If there is any exchange i will do it this is worst phone i have ever seen I want to return it its very worst it is hanging much can't operate the mobile very very worst make it return as. As possible,1
Good phone with always on display and in screen fingerprint,4
"The cell phone is great
The processor could have been better
But the looks of the phone takes it away
So you won't regret after buying it
The cell phone might be a little heavy for some people but it's manageable",5
"PRODUCT IS NICE.  I HAVE PURCHASED BLACK COLOUR MOBILE, BUT I HAVE RECEIVED WHITE COLOUR MOBILE",3
Amazing cell phone micro camera is amazing,5
It is as per my expectations.,5
Again best phone in this range but somehow if processor could be snapdragon 712 means better.this too not bad..camera not bad.overall good,5
It's good...,4
"Option in external memory .. worrest option...
Battery Heat in early in charging time.",3
"Camera, voice and sound quality is very good.",5
"Value for money... Best phone to buy if the budget range is in or about 20k. Great phone, brilliants specificationa, great service by amazon. The phone has a very ricch look. Modern styling and good hand feel. Weight is around 195 gms. Great battery.",5
"I start calling him on March 18, and on April 10, the phone lines the black line in the center of the display, all my hard earned money is lost, today I am paying this loan on the bank.",1
Best mob office & tour related,5
"Not upto the level. 3GB Ram works faster than this. Taking too long to open any apps. Pls go for other models.
No refund / return the item.",1
Nice phone,5
Very good Product,5
Nice,4
Function are good but but but but but camera function and quality is disappointing.,1
Nice.but only one simcard and one memory card we can use.If v want to insert dual SIM cant use memory card.All Other features r good.,4
Good product but there is no difference in S1 and S1 pro other than the camera,3
Nice product,4
"Camera quality is poor. Amazon wont refund money once you order it,though u dont like the product or not satisfied. Amazon doesnt help u out in anynway",1
Superb mobile,5
Product is nice.. but at this price range I would suggest not to got for this.,3
Original camera fant and back music butifull sound calar very good,5
Bad,4
Third class phone. It's total waste of money. Once you buy it Amazon won't even entertain refund or return of the product.,1
Charging is average.....if u use wifi it consumes more battery,5
It's very handy to use .. camera is good,5
Nice display... wonderful camera clarity.,5
Battery back-up is not satisfactory. Media sound is very poor. Even the Camera is so exciting. Other features are okay.. Not extraordinary,3
camera quality is owsmmm,5
Battery capacity is low. Since I am from using from 20 days daily I need to charge the mobile.,1
Phone is awesome and full of specifications. Front finger sensor is awesome and look is fabulous. Price is reasonable,5
Good,4
Very good camera quality phone,5
Nice me,5
