Best camera,5
Exchange offer,5
Camera is too bad and very bad customer service,1
I look for specifications instead of looks and I have to say that it is good in both look and specifications.,4
"Best camera in this price segment
Battery backup is good",5
"As far as I checked there is no complaint about the phone, and Amazon delivery is also great, but the product is pre opened, as shown in the pics the seal is white but realme comes with black seal with yellow text and the whole box should be wrapped in white plastic, which this box doesn't. Phone look fine and I dont want to go through the hassle of replacement, so iam keeping the device. But I would have liked a new box.",3
battery is not good. But charging is fast. redmi note 7 pro is better,4
"It's been more than a month now since I have been using this phone and I am very much satisfied with the performance.
Pros:
1. Decent battery life, almost 1 day battery life with heavy usage.
2. No overheating problem.
3. 48MP rear camera does a great job, especially portrait and night mode.
4. Front Camera is also decent.
5. Processor is nice. I can play PUBG in highest graphic setting without experiencing a single lag.
6. Look wise is also different.
Cons:
1. Slightly heavy
2. Transferring of media is little bit difficult from old phone since default app doesn't work properly.
3. Interface could have been more user friendly.",5
Phone is very good.cam quality should be enhanced more.,4
"Nice Camera and Battery Backup...
Super Vooc Charging",5
"Good till now 👍, has been using for 1 month",4
"Looks good and slim but the processor is very slow, slow response to touch. I would suggest not to buy realme 5 pro.. Better go for other brand like redmi, Samsung and other for same price.",1
"Superb Mobile. Simply awesome. Just arrived few minutes back. After using the 2 minutes all features and mobile speed, capacity awesome. Thank you Amazon. Love it and Love you.",5
"It's wonderful and I had great experience by using this android mobile and one thing I really want to share something the vooc charger it's getting damn good by greeting 0 to 100 percent in 1.20 hour especially first 50 percent is getting charge in 30 mins.finally gaming experience Vera level 712 SD processor I love it get this mobile and get winner winner chicken dinner every time in pubg ...........
This review is post on Feb 4 20 I'm using this mobile for more than one month it's awesome.",5
Excellent experience with this mobile as it has enhanced acceleration for gaming due to it's processor and lightening fast charging. I Love this product as it's value for money. But minimum accessories like hear phones are to be added with this item.,5
Superb,4
very  good,5
"I used the phone for 1 month, till now there has been no problems. Playing games is very smooth and there has not been any heating issues. Playing pubg is smooth and graphics can go up to hd till now but may go higher later.
The things I didn't like was battery life. 4035mAh is just OK. It's not that good but it's not that bad also. The camera is also good even though the camera UI is really bad. The fast charger is superb. The phone gets fully charged from 0 to 100 in 1 hour and 20 minutes. I am not a fan of color is so I don't like the UI that much but I think the upcoming realme  UI much better.",4
"I received this Phone 1 week back.this phone is good under this price.we can handle this Phone in easy way.phone touch screen is very smooth.after updating to android 10version handling easily.
And the battery pack up is better using 12hours.with in 1hour 10min charging full.
And finally camera quality also good 48mp and night mode also good.you can buy this Phone",4
Best phone best camera best performance ance........,5
"After 2 and half months use I'm face its heat too much  so not  easy to handle after heat bigest problem battery life not so good and not bad only use when you out of your zone u can't enjoy bcoz battery drain out too fast . Buy instead mi , samusung .",2
Finger print scanner and face unlock are not upto the mark. Facial unlock is worst compared to Redmi.,5
Poor,4
Seems like already used product. Seal has been already broken and seal has placed over the broken seal.,2
Cemra quantity is not good when lick the picture that look a capture image not properly clean some buller are shown the image when just small zoom the picture,3
Very impressive,5
Amazing mobile.... Best mobile in this range... Camera quality is awesome.....,5
"Superb build quality and superb performance.
Battery backup is almost for 2 days for a casual user.
Camera and performance overall is good.",5
Good o good,5
OK not reached as my expectations.. Not received ear phones..,4
Awesome product and delivered intime,5
"Awesome phone nd 100% value for money, superb camera.
Amazon delivered on time and packing is good",5
"Camera quality is awesome
Battery backup is average but vooc 3.0 charger beats that with quick charging
Fingerprint and face unlock is fast
Performance is also good with sd712",5
"NICE ONE PRODUCT
But realme Earphones not in box.
Other Wise Mobile is good looking and good working ,
thank you for this phone safe delivered to me.",4
Everything is fine. Good service by Amazon.,4
"Nice
Nice battery backup
Brightness excellent
Beautiful Also",5
"Few times, it works very slow, it 'll be ok after the restart. Otherwise everything is fine.",3
VeryGood product... standard Realme5pro.,5
Good,5
"Battery must between 5000mah to 6000mah.
Battery is of 4035mah due to this battery performance is not that much of good.",4
Nice mobile,2
Nice device... Performance top class👍👍👍,5
Superb camera quality.... Great display... Awesome phone.... Realme ❤️... Best budgetary phone,5
"Nice mobile fast fingerprint scanner
Changing speed is very nice",5
Finger print reader,4
Camera quality not so good...otherwise its average quality phone.,4
A overally good product. Nice camera resolution. I'm happy using it.,4
Nice phone for the price range,4
The seal of the box was already open and the phone was setup when we first switched on the phone,4
Loved the phone. Looks amazing and works like a charm.,5
Not satisfied,1
Defective product is to be deliverd by amazon..the speaker of mobile is not work.properly,1
Worst mobile,1
I am not Satisfied  but .... OK.,3
Love it,5
Nice product,5
"Nice phone, camera sucks tho",5
"Best in this price , best camera , best performance average battery life.",5
Super product,4
"What. A phone
Very good experience",5
Very bed,1
Nice mobile,5
Good battery life was expected,4
Value for money,5
Nice ji,5
Excellent Product by Realme,5
Super Product,5
Good,4
Camera quality is not so good .not accordind to 48 MP.,3
"Battery life is less
But due to vooc charger it gets charged fast",5
Superb phone but when pubg phone have slightly heat and normal laging,5
"No earphones with new device , please confirm why it is not included?",3
"sometimes mobile slow after 1 month use
and cemera quality low",5
"Ovarall good, increase battery backup (5000mah) so good.",4
Excellent performance.really it's amazing 👌👌,5
"Amazing purchase
.",5
Good camera quality and satisfied with seller service,5
Best value for money phone ❤️,5
camera quality is very nice. Overall quality is also better.,5
Best handset.,5
Camera not clear jese camera hai vesi photo clear nahi aati,3
Proximity sensor is not working. Bad product from amazon,3
Camera quality very good,4
Excellent,5
Ok,4
"Awesome product, value for money & Good camera quality.",5
"Product is used before , seal is broken of this product",3
Excellent phone at this price range..,5
I order blue sparkling but deliver to green sparkling,3
Overall fitting product in this price range.,4
Fantastic and value for money phone,5
"Battery lyf not good,
Adds comming too much..",5
Awwwsuum phone on thissss price i really love it!!,5
Nic,5
"Value for money.
Camera is excellent",5
"Very quick delivery, nice",5
Ik,4
The mobile so nice it's camera result is so nice,5
All future good,4
Value for money,4
Really asome,5
I received defective one so please replace,1
712 processor is very fast,5
Overall awesome phone in this price range,4
Item Good,5
Mobile color is verry dark and unuseful,1
Lovely,3
As per my expectation,4
Ok type .. not great,3
Good phone📱,5
Super mobile,5
"Durable
Easy to handle",5
Good camera.battery life is awesome,4
"Excellent camera
Superb design",5
Hmm,3
I like because it's colour is best,3
Gjz mobile,5
So awesome mobile,5
Very nice phone,5
Value for money,5
Very bad mobile,1
Awesome,5
Total value for money,5
value for money phone,3
Nice,5
Great phone.,5
Best quality product gound,1
Over all best mobile phone,4
Battery performance besi,5
Vry vry impressive phone,4
Excellent mobile,5
Excellent mobile,5
Best according to price,5
Best phone in Budget ❤️,5
Battery problem,5
Awesome product,4
Value for money,5
Very good mobile,5
Everything is going...,5
Great product,5
Awesome mobile phone,3
Nice,5
Hood,4
Good.,5
nice phones,5
Awesome product 👍,5
Ok,5
Nice but not good,5
Good but very bad,4
Fantastic awosame,5
Excellent,4
Very good,5
Value for money,4
Best mobile ...,5
Value for money,5
Value for money,5
Not bad,1
Awesome phone,4
Nice product,4
Good,5
Nice camera,5
Best choice,4
Osm,5
Nyc mobile,4
Very  nice,5
Ok,3
Nice one,5
Awesome,5
Good.,5
Nice,5
nice,5
Only,3
Good,4
Nice,5
Good,5
Like,5
Like,5
Nice,5
nyc,4
Good,5
Good,4
"Let's go with a detail.....
1. Camera.
Best in daylight...video's are awesome...plus I got update of wide-angle video shooting which is very good....night mode works decent... misses on detail...(pics attached)
2.performance...
I have 4gb;; 64gb varient... played pubg for 2to 3days...works very smooth...(only 2to 3days because IAM noob😅😅 ).
.
I mean no lag or anything everything runs smoothly...
3. Battary and charging speed....
One word...sexy.... charging speed is mind-blowing...believe me it's best and battery backup is also good don't see the other reviews I used it (I'll attach pic)...
4...worth the Price???
I think yes because you're getting good camera, performance, battery backup.....ithink it's sufficient...I love this product...",5
"Real battery backup is 5 hours.
Need to charge twice a day but vooc charger can counter this drawback.
Except this everything is acceptable.",4
Ultimate performer. Loving it.,5
"I am disappointed with the product ..with in two weeks the display gone,at that time in India lock down announced ,so there is no option to me to intimate to you..So now what I have to do,the phone is not switching ON,almost display gone..waste of real me products..why amazon encouraging these Cheap quality phones..almost I purchase branded products in amazon.I didnt face any issue now am facing issue with Realme..So show me an alternative for this product.",1
Selfie camera is too bad....high white balance☹️☹️.... back cam is not48mp but superb...display is super... heating-when play games like pubg...easy to use...battery life more to improve,3
"Camera quality is amazing. Finger print scanner,face detection perfect. Assist ball feature very useful. Charges very fast. Amazon delivery is as per schedule. But I request Amazon people to make a neat invoice in A4size sheet or at least A5 with neat printing. It is worth buying.",5
chinese phone for chinese people,1
One of the fabulous mobile...the display and the style is just superb...🥰 Loved the most....but the only one thing is the data goes Soo fast ki after seeing some videos or other things it drains ...I think it's just becozz of full clear clarity,4
Very bad heating hard during pubg paly,1
I'm not at all satisfied vth this product. Calls are getting disconnected frequently..not even 5minutes I am able to talk properly.. sound is another issue...it's not clear.it can b smooth.,5
Camera is very bad post proccesing is suck and Ui Also instead this is best smartphone under 12k,4
Worst phone due to its battery drainage and also heating prblm... Camera was good whn the product purchased bt after update grains are occurred on the video and photo....,2
"Excellent camera , good battery performance , charges in 1:10 hrs . 4k resolution.",5
No simpal,1
Gud,4
Best phone but battery should be at least 5000 mAh .I am very satisfied with this phone. Near stock Android UI with some costomisation.love it,4
Nice one 👍👌,4
"It's good product
Camera is awesome",5
Camera Good Performance,5
Really worst.dont buy this one,1
Real me care services in bathinda too bad. Totally untrained employ.they totally waste your time,1
Best camera phone at this price,5
Very good phone. No hang problem . At the end running very good,5
Display spreads while viewing many videos... touchscreen don't react many a times...,1
Please give me us know exchange offer,4
You can buy it for testing purpose,5
value for money,4
Good Phone....👍 Good Processor 712..10 nanometre...,4
Best mobile on this budget....suprv cameras. And battery also,5
It is very good .... Very nice phone,4
Great,4
Best mobile in this price segment,5
AWESOME product,5
All facilities are available so very good phone,5
Excited exchange offer,5
Excellent 👍,5
Nice Mobile,4
This is a owsome phone,4
Superrr,5
LIGHTENING FAST DELIVERY.NICELY PACKED.PRODUCT WAS AS DESCRIBED WITH ADDITIONAL SCREEN GUARD.,5
"I like battery backup in this phone. Being 4gb RAM phone, less than 1 gb is free..Camera is good..",3
All in all a good phone with great specs.,5
