"Defective Phone
1. The mobile phone came with a crack on side panel.
2. When tried to call from the mobile, my voice was not audible at other side. Tried using headph but still the same result.",1
It's a great phone in 5000. Good battery life and greatest screen smooth and awesome. Camera is not that good but if it was higher the night mode would have been great help then guess that needs 13mp camera at least. But in other modes it's good,5
"Awesome looking phone for this value. The back cover is quite glossy specially in black color which makes it very attractive. Decent camera and good speed. All in all, a great value for money.",5
Damaged inside at left down side.,1
Not bad,5
"Worst mobile I ever had purchased.
Network is the basic thing in any phone, but it's not working at all.
Battery is too weak.
I recieved this mobile on 6th Dec 2019.
And today I requested Amazon for return, and replace with another brand, they are having so complicated process regarding this. Complete wastage.",1
After 2 months use will add review,5
Ok,3
Speaker not working,1
"Unnecessarily heat Problem,
Some times Network Problem,
Charging issues,
Pls don't Buy 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏
And don't lose your Money,
Total wastage.......
One star also waste for this Mobile........",1
Its value for money.......lite weight....good look......its ok for this price rage..,4
" Worst product, I bought it on 1st MARCH'20 and it got dead since 12th of this very month,  and being its amazonfulfilled item I launched a complain at Amazon on 13th Mar'20, and on 16th of the same month it was to be taken returned. But the delivery boy refused to take it return as he was unable to match the IMEI NO. Now, who has the whole day to speak to their C care representative regarding it. Due to shortage of time we go for online shopping....
Worst experience from both MICROMAX and AMAZON",1
Good,5
Guys product is good for basic use. Came is not so good. But ok as per budget. Sleek light weight & compact design is attractive. Face unlock is ok.,4
Micromax iOne Notch os the best in this price and suitable to the buyers  who need Android phone in current android  9 pie version,5
"Didn't expect it to be so cute and nice.  We thought it's cheap so the quality might be compromised.  No it's really awesome phone,  my daughter liked it.",5
Pathetic phone,1
V.good,5
What is good for value of money but its battery and performance should be more better.,3
"Value for money with Android 9.
Internal Mermory should be more and could have increase the price by 500 or 800.",4
Go for it,5
"This is such a fastest mobile. I really like this mobile. With 2GB ram & 16GB Rom. I really love this product. Lovely......
You can purches for your help.",5
Nice,5
Not bad....I'm not sattisfied,2
"Mobile is good in all aspects except in size.  Screen size is small (is it 5.45""?). This is great disappointment.",5
