Super vivo v17,5
"I'm a very generic user mainly using the phone for calling, clicking pics, watch movies and some apps like whatsapp, Twitter, travel booking and mails and meetings. Received the phone today and the first impression is that the phone feels light for its size, display is awesome, receptive and very smooth. Camera clicks some really good pictures and when clicked in 48MP mode, the clarity sustains even after zooming in. The charging is also pretty fast. I hope the battery life is also good. Overall, it seems a superb phone at this price point.",5
Camera average performance only night mode camera not satisfied very dark pictures it's taking..I didn't expect this fr Vivo.Battery display excellent.camera not good..Worst night mode camera.other things sounds good..,4
"Wow... As expected main camera is awesome... it's a camera centric phone so don't go for the processor it's actually runs well with Snapdragon 675
with 8GB RAM and I swear display, camera, and battery is awesome...even having 4500mah battery it's very light weight.... Over all it's perfect phone for me...Go for it if you're looking for a phone with good camera, display and battery... U'll not regret... Happy customer...
Thanks to Amazon for quick delivery...",5
good  best product,5
Very bad.please don't buy any one there is no return policy.. hurting from vivo..,1
"This Product is very good in all aspects, but the price is little higher as the processor relatively old.

Camera Quality is good
Battery Life is good
Sound Quality is normal.
Processor relatively old
Since  the Processor relatively old, the Price would have kept between 17K to 19K.",5
"Sexy model.....
About device...
 display was steals my heart
CAMERA WAS MOST HIGHLIGHT OF THE PIECE
It's about light weight mobile....
Performance was can't say jzt we have 2 feel it....

Vivo V17",5
"This product is waste it's better to go for mi or oppo or Samsung any other brand, I have used almost all brands but vivo is the worst one, it will take time to load anything you can sense it like it's lagging for example,when you open browser then it starts lagging to load the page and if you open anyone's dp in WhatsApp there also you can sense it and most important one if we are on call then you will get ear pains and headache, and I called for Amazon guys they are very worst, when I kept for replacement then they are telling these are common thing in this brand, what ever the issue if you tell them they will tell simply it's common in this brand.. the one thing little bit good is cam nothing else even it's 8gb ram it works like 2 GB ram worst phone ever I used and worst guys from Amazon, try to take it from Flipkart",2
"First look and I can't get eyes of the phone.. I don't know how many hours continuous I'm gonna play with this beauty and masterpiece
I got many suggestion not to buy this but I thought to take a risk and it worth it amazing sleek and punchy colors...",5
"Huge expectation from Vivo. But all in vain

The device had board issue and customer care tried to cheat me by asking to pay refundable deposit for board replacement, although under warranty.

The device had serious flaws and 2 software updates couldn't rectify them.

Vivo customer care asked me to take the device to service center.

Nowadays service centres are run by gangs and they demand money in pretext of refundable deposit and then once the repair is complete, they deny to pay it.

If you start a fight, in no time you will be removed from store. There are people ready to trash you up in nearby stores.

Huge problem in India, as gadgets are becoming more and more common, people are looted by thugs in various ways.",1
"I have been using this phone for past 2 months. Phone is superb. Some buyers think that it it is overpriced but it has camera features like of professional ones. It has features which we mostly don't get in smartphones of this price or a little below. Camera quality is awesome.Night mode is the main and the best feature of this phone. If you are thinking to buy it , Just buy it.",5
Super mobile excellent it was looking very beautiful I loved it super feature camera was amazing 👌 all of u can buy and price as low thanks to vivo launched a great phone,5
"Although the product was good
It was having a problem
Whenever the phone was kept idle for sometime approximately 15 mins
Jio sim was becoming unreachable .
However after slightest of motion sensing call was getting connected.
And the problem remained even after swapping the vodafone and jio sim
The problem seemed to be only with jio sim and not any other sim.
The same jio sim when inserted in samsung galaxy s8 plus was working absolutely fine.",1
"This is a very nice phone. I was using Vivo V9. Some of the nice feature's of V9 is not in V17. I had expected that those feature's would also be available in V17.

On V9 when one is changing the icon pages, the page moves like ""a book page moves"" which look very nice but it is not in V17.",5
Worth of every single penny I spent on this phone.I was gonna take another phone of another brand but then my girlfriend suggested me to take this phone and trust me this is the best phone even better than any other branded phones,5
"A major disadvantage in the phone is that you can't delete the sms one time caused don't tap and select multiple sms , if you want to delete multiple sms at one time it's a sad information that you can't despite it's a vey common feature in all phones even the key pad phone too.

Camera quality is not expected as i thought before it's purchase.

Other features are good but not the cost of such expensive phone.",4
"I have been using this smartphone from the exact date on which it has been launched, i.e, on Dec 17, 2019.
Camera:
Vivo started its campaign to sell this phone stating that its camera can click pictures ""As clear as real"". Extremely disheartened from time to time from the past 02 and a half months of using it. The camera quality is worst, literally worst. I was using Sony Xperia XA Ultra Dual smartphone before this disaster came into my hand. Truly speaking, if I am going to compare the pictures, depth sensing technology, detailed visions of the pictures captured from Vivo V17, it is marked as in negative. Its so called 48 MP mode pictures started blurring when I used to zoom it. Its night mode camera is just okay. Worst in case of camera quality. It might be due to the case that I used Sony in my past. It is my urge request to everyone to please have some premium smartphone from OnePlus, or, Samsung, if you have camera in your priority bucket.

Processor:
Qualcomm Snapdragon 675 AIE octa-core at 22k budget is a moderate option. But after using from the past 02 months, it is not at all a Pubg standard game.

In-Display Fingerprint Scanning
Vivo launched this phone stating that it is Next Level In-Display Fingerprint Scanning, but truly speaking, it is not that wow. We need to deeply press the finger in order to open it.

One thing to tell is that it is not at all a good option at 20k.

Worst VIVO.",2
Fabulous phone,5
"Awesome  product  no more words but.  All things are. Best
In gaming, in camera, in music, in look
I loved it. Guys I think u should go with V 17
In 23 k Range. Tnx vivo for this 😍

Anil Sharma  ( 9265051940)",5
"I have bought this phone after looking at many other models. But, with a gut feeling. Honestly, I am impressed with the body, earphones and performance. Glass should have been a gorilla one but over and above with first few days usage it's Impressive.",5
"Hello everyone i write my review after use of this phone for one week everything on this phone are perfect like camer, battery, display,sound quality,ram&rom and also the classic 👌look.
One suggestion to manufacture plz give a STOCK ANDROID.
And also thanks to Amazon for fast delivery.",5
"Overall nice but a bit pricey as the processor is not so capable, hence not a super fast one.",4
"Overall fantastic product..
Better the samsung s10/ note light
Value for money
Best ph in this price tag.
I have installed approximately 100 apps no hanging problem.
Using since 3 months.
Battery back up is 2 days for a moderate user.
Simply awesome phone",5
stylish and simple handy affordable,5
"Camera quality is good ,fingerprint reader is excellent , littel bit problm with face recoganizatio, it's recognizing to far from your face it should be closer to face.",5
"I received this mobile on March 5th I have been facing a lot of problems with mobile since I took it ,Within the return validity, I placed a mobile cancellation order
But my cancellation order was not accepted I called Customer Care My mobile is heating up network problem is not catching the range properly ,Also the person in the front does not have a voice , Network is not running fast. I think this mobile has been refurbished....",1
Camera quality is awesome .The image looks like one taken using SLR camera!I compared the image with realme x2 64mp camera.Vivo is much better.I printed photo taken using vivo .. Details are much better.!This is why vivo kept the price higher!go for it ...,5
"When we charging getting mobile heat, camera quality front v v poor looks like normal there is no contrast effect , I was using v5 plus mobile. V5 camera is v good front n back compare to v17. Plase take back v17 or replace it . I don't like v17 front camera.",1
"camera outstanding looks like professional cameras whether day or night doesn't make any difference,looks keep you away from those typical 3 aligned cameras phone ,in display touch works like magic what's more picture quality buy it to believe it don;t describe imagine amloid screen. Best purchase thanks to bajaj finserv card.",5
"Not satisfied with the products
Both mobile got hand,
Fingerprint is not working..
Worst experience",1
"Camera quality and phone performance according to the price not matching,
According to this phone price too much.",1
"I got delivery Next Day, being the Prime Member. The Phone is good. Battery back up, Camera Quality, Sound, Display all is very Good. I am Happy..",5
"Battery is not good , even it can last for 3 hours on a video call. very disappointed after purchasing",2
Very nice mobile.,5
In this phone camera clarity is tremendous fantastic ....,5
"This phone is not worth buying as it is too costly and not that good as other brands . ads from vivo is too irritating that I will never buy vivo again.

Screen is also not that big like one plus screen.",2
"It good in camera only
Its price not sutable
Its actual price is 17000 only",3
I am dislike this product very bad experience for mobile only 15 days used and display damage and vivo service is very bad display no warranty and display changing 6300 rupees pay vivo care very bad service and very bad mobile please don't buy this mobile no service,1
"My friend says mobile is very good.
Camera quality is very better other androids mobiles. Mobile body and quality is good.",5
"FmUsing the set for last one month., star 3 because battery back up is poor. Unable to uninstall  programmes installed by user. Wifi connectivity and mobile signal reception very poor comparing to other set. Camera good. Can be more user friendly.",3
Camera are very low range 48 megapixel camera not approved....,1
Awesome,5
Camera setting is not easy to use.,5
"Battery is not up to the level.
Camera is also not as expected
Front camera is good
Phone body is also not handy..",4
Superb phone value for money,4
"Awesome product and also a very good service by amazon. delivery service is very good of amazon. It reached before the given delivery by amazon. Thanks amazon.
I purchase many products via amazon.",3
"I am really happy with the phone look and picture clearity. Photos are crystal clear. Night picture are the best quality. previously i used i phone 7, this is much better.",5
"Complete Mobile
Design, Durability, Dammm Kool.",5
Quality and money problem,1
"Battery back up is not good, please don't buy this product, compare to this product my old mi note 6 battery back up is good. No value for what you spent for this product, battery drains soon...",1
Excellent mobilr,5
Battery drains quickly.. renders slow data speed Everytime.. camera is capable of clicking average photos.. overall average performance by this phone during last two months...,1
Good,5
Awesome.,5
"Value for money, feels awesome",5
Very good product,4
Value for money.,5
Camera n battery life are very good,5
"The Vivo V17 worst mobile just 30s rain mobile completely dead.after i went to service center they says the service cost  22,990.00. just 18 days back i purchased.",4
Excellent phone..never used any phone except samsung so was confused whether to use this or no..but guys it an awesome phone n v user friendly.,5
"Front camera- not good (Pixel broken)
Rear camera- good quality",3
All is well,5
Excellent in all aspects,5
awesome mobile and better camera quality for me its a good product..,5
Super phone camera quality is good super mobile,5
Xcellent,5
Rec today. Very good looks.,5
